new entry "SummonBed"
type "SpellData"
data "SpellType" "Target"
data "SpellProperties" "GROUND:Summon(ab99f443-520b-48f8-b8c4-b9b58b5a41ab);"
data "Icon" "Spell_Transmutation_Blink_Teleport"
data "DisplayName" "hff1260fdg5aacg469cg8603g8b1f1f642110"
data "Description" "h5e9c908cg9c6fg49f1g9778g9a4b2b76a1f0"
data "TargetConditions" "CanStand('')  and not Character() and not Self()"
data "CastSound" "Spell_Cast_Utility_DimensionDoor_L4to5"
data "TargetSound" "Spell_Impact_Utility_DimensionDoor_L4to5"
data "Autocast" "No"
data "SpellFlags" "ImmediateCast"
data "HitAnimationType" "None"
data "SpellAnimationIntentType" "None"
